step,T,Epot,Efull,SolventMolsThroughZ,
2.2e-012,253.607,-10512.5,-7011.12,0,
2.205e-012,254,-10464.9,-6958.12,0,
2.21e-012,256.944,-10459.4,-6911.92,0,
2.215e-012,259.662,-10468.1,-6883.17,0,
2.22e-012,260.312,-10455.7,-6861.75,0,
2.225e-012,264.248,-10498.7,-6850.39,0,
2.23e-012,266.947,-10545.9,-6860.4,0,
2.235e-012,264.849,-10528.2,-6871.61,0,
2.24e-012,263.709,-10513.1,-6872.32,0,
2.245e-012,262.063,-10486.5,-6868.39,0,
2.25e-012,258.433,-10417.6,-6849.59,0,
2.255e-012,259.711,-10376.7,-6791.07,0,
2.26e-012,264.043,-10392.7,-6747.22,0,
2.265e-012,267.952,-10426.1,-6726.66,0,
2.27e-012,270.078,-10449.9,-6721.11,0,
2.275e-012,273.331,-10503.2,-6729.53,0,
2.28e-012,272.282,-10506.6,-6747.4,0,
2.285e-012,267.85,-10446.1,-6748.04,0,
2.29e-012,267.373,-10426.1,-6734.64,0,
2.295e-012,266.815,-10404.3,-6720.63,0,
2.3e-012,265.321,-10363.4,-6700.34,0,
2.305e-012,268.572,-10359.3,-6651.35,0,
2.31e-012,272.607,-10386.8,-6623.11,0,
2.315e-012,274.592,-10401.9,-6610.83,0,
2.32e-012,275.354,-10407.5,-6605.91,0,
2.325e-012,275.89,-10412.4,-6603.42,0,
2.33e-012,275.503,-10407.1,-6603.48,0,
2.335e-012,273.356,-10368.9,-6594.86,0,
2.34e-012,275.944,-10395.3,-6585.59,0,
2.345e-012,278.218,-10434.3,-6593.17,0,
2.35e-012,274.636,-10390,-6598.26,0,
2.355e-012,272.573,-10317.3,-6554.11,0,
2.36e-012,273.114,-10276.7,-6506.04,0,
2.365e-012,274.461,-10251.9,-6462.6,0,
2.37e-012,277.373,-10259,-6429.57,0,
2.375e-012,281.447,-10300.9,-6415.16,0,
2.38e-012,283.59,-10333.5,-6418.18,0,
2.385e-012,286.446,-10386.5,-6431.79,0,
2.39e-012,289.558,-10461.1,-6463.37,0,
2.395e-012,289.39,-10498.6,-6503.17,0,
2.4e-012,287.233,-10502.8,-6537.15,0,
2.405e-012,285.831,-10476.8,-6530.59,0,
2.41e-012,284.192,-10438.5,-6514.9,0,
2.415e-012,285.662,-10441.3,-6497.41,0,
2.42e-012,287.091,-10453.4,-6489.79,0,
2.425e-012,285.231,-10420.4,-6482.39,0,
2.43e-012,281.243,-10341.4,-6458.46,0,
2.435e-012,281.044,-10301.4,-6421.24,0,
2.44e-012,282.15,-10285.2,-6389.78,0,
2.445e-012,280.403,-10227.5,-6356.21,0,
2.45e-012,282.023,-10213,-6319.29,0,
2.455e-012,287.02,-10234.9,-6272.27,0,
2.46e-012,288.636,-10230.3,-6245.31,0,
2.465e-012,289.306,-10218.3,-6224.1,0,
2.47e-012,292.147,-10245.4,-6211.96,0,
2.475e-012,292.205,-10244.5,-6210.24,0,
2.48e-012,290.717,-10213.4,-6199.66,0,
2.485e-012,293.134,-10236.2,-6189.12,0,
2.49e-012,295.253,-10270.5,-6194.12,0,
2.495e-012,289.45,-10186.1,-6189.92,0,
2.5e-012,286.135,-10105.3,-6154.87,0,
2.505e-012,286.624,-10102.8,-6145.59,0,
2.51e-012,285.914,-10083.6,-6136.24,0,
2.515e-012,284.688,-10056.5,-6126.07,0,
2.52e-012,284.209,-10039.3,-6115.47,0,
2.525e-012,281.991,-9997.5,-6104.27,0,
2.53e-012,280.672,-9967,-6091.98,0,
2.535e-012,283.914,-9999.89,-6080.1,0,
2.54e-012,286.26,-10023.4,-6071.23,0,
2.545e-012,283.208,-9971.57,-6061.53,0,
2.55e-012,285.032,-9985.85,-6050.63,0,
2.555e-012,289.164,-10034.4,-6042.12,0,
2.56e-012,289.972,-10038.6,-6035.18,0,
2.565e-012,291.527,-10053.5,-6028.61,0,
2.57e-012,294.462,-10089.2,-6023.76,0,
2.575e-012,295.51,-10100.4,-6020.5,0,
2.58e-012,292.969,-10061.5,-6016.66,0,
2.585e-012,291.522,-10036,-6011.22,0,
2.59e-012,291.066,-10023.9,-6005.38,0,
2.595e-012,288.642,-9983.43,-5998.36,0,
2.6e-012,290.327,-9999.15,-5990.82,0,
2.605e-012,292.29,-10020.4,-5984.98,0,
2.61e-012,293.244,-10028.3,-5979.74,0,
2.615e-012,296.661,-10072.1,-5976.33,0,
