step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
1.34e-012,322.383,-8621.39,-8002.2,0,0,-0.136044,0.410604,-840,0,-0.35301
1.345e-012,319.124,-8617.22,-8004.3,0,0,-0.13505,0.406989,-845,0,-0.357224
1.35e-012,320.586,-8621.95,-8006.22,0,0,-0.134237,0.403357,-850,0,-0.361462
1.355e-012,321.066,-8624.51,-8007.86,0,0,-0.133511,0.399709,-855,0,-0.365726
1.36e-012,319.457,-8622.98,-8009.42,0,0,-0.132634,0.396044,-860,0,-0.370015
1.365e-012,316.872,-8618.82,-8010.22,0,0,-0.131282,0.39236,-865,0,-0.374329
1.37e-012,313.599,-8613.76,-8011.45,0,0,-0.129533,0.388654,-870,0,-0.378667
1.375e-012,306.763,-8602.1,-8012.91,0,0,-0.127764,0.384923,-875,0,-0.383031
1.38e-012,298.559,-8585.73,-8012.3,0,0,-0.125881,0.381166,-880,0,-0.38742
1.385e-012,291.545,-8571.46,-8011.5,0,0,-0.123376,0.377383,-885,0,-0.391834
1.39e-012,287.193,-8562.37,-8010.77,0,0,-0.120282,0.373575,-890,0,-0.396272
1.395e-012,282.566,-8552.22,-8009.5,0,0,-0.117232,0.369741,-895,0,-0.400736
1.4e-012,281.611,-8548.82,-8007.94,0,0,-0.114502,0.365883,-900,0,-0.405225
1.405e-012,276.99,-8538.59,-8006.59,0,0,-0.111861,0.361997,-905,0,-0.409739
1.41e-012,267.879,-8519.25,-8004.75,0,0,-0.109345,0.358079,-910,0,-0.414277
1.415e-012,251.408,-8483.21,-8000.34,0,0,-0.107305,0.354117,-915,0,-0.418841
1.42e-012,231.171,-8439.17,-7995.17,0,0,-0.105769,0.350096,-920,0,-0.42343
1.425e-012,211.096,-8393.28,-7987.83,0,0,-0.104528,0.346,-925,0,-0.428044
